0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
155,2019.08.14,00:00,1.2059,1.21007,1.20446,1.20565,151376,0,1,0,0,0,0,0.0,2.0,4.0,0,0
156,2019.08.15,00:00,1.20555,1.21505,1.20505,1.20818,159745,1,0,0,0,0,0,0.0,2.0,5.0,1,0
157,2019.08.16,00:00,1.20818,1.21755,1.20754,1.21433,134582,1,0,0,0,0,0,-1.0,4.0,5.0,0,0
158,2019.08.19,00:00,1.21476,1.21727,1.21047,1.21259,98709,0,1,0,0,0,0,-2.0,4.0,4.0,0,1
159,2019.08.20,00:00,1.21261,1.21794,1.20641,1.21675,118760,1,0,0,0,0,0,2.0,5.0,3.0,1,0
160,2019.08.21,00:00,1.21686,1.2175,1.21123,1.21224,102273,0,1,0,0,0,0,-1.0,5.0,5.0,0,1
161,2019.08.22,00:00,1.21231,1.2273,1.21086,1.2253,128486,1,0,0,0,0,0,2.0,5.0,5.0,1,0
162,2019.08.23,00:00,1.22527,1.22933,1.21943,1.22785,136377,1,0,0,0,0,0,0.0,5.0,3.0,0,0
163,2019.08.26,00:00,1.22647,1.22856,1.22079,1.22173,164034,0,1,0,0,0,0,2.0,4.0,5.0,0,1
164,2019.08.27,00:00,1.22076,1.23097,1.22076,1.22853,123346,1,0,0,0,0,0,-2.0,4.0,5.0,1,0
165,2019.08.28,00:00,1.22856,1.22909,1.21559,1.22047,141088,0,1,0,0,0,0,1.0,5.0,4.0,0,1
166,2019.08.29,00:00,1.22047,1.22325,1.21721,1.2179,125401,0,1,0,0,0,0,-1.0,3.0,5.0,0,0
167,2019.08.30,00:00,1.21813,1.22261,1.21393,1.21629,120991,0,1,0,0,0,0,,3.0,4.0,0,0
168,2019.09.02,00:00,1.21441,1.22569,1.19585,1.22503,381522,1,0,0,0,0,0,5.0,5.0,2.0,1,0
169,2019.09.05,00:00,1.22502,1.23538,1.22101,1.23264,142467,1,0,0,0,0,0,-4.0,5.0,4.0,0,0
170,2019.09.06,00:00,1.23257,1.23435,1.22793,1.2286,116554,0,1,0,0,0,0,-1.0,4.0,5.0,0,1
171,2019.09.09,00:00,1.22691,1.23847,1.22333,1.23455,100610,1,0,0,0,0,0,-1.0,4.0,4.0,1,0
172,2019.09.10,00:00,1.23449,1.23796,1.23069,1.23424,99185,0,1,0,0,0,0,,3.0,3.0,0,1
173,2019.09.11,00:00,1.23452,1.23708,1.23124,1.23289,91834,0,1,0,0,0,0,,3.0,4.0,0,0
174,2019.09.12,00:00,1.23255,1.23668,1.22833,1.23324,121303,1,0,0,0,0,0,2.0,3.0,3.0,1,0
175,2019.09.13,00:00,1.2331,1.25047,1.23271,1.24967,104720,1,0,0,0,0,0,-1.0,5.0,5.0,0,0
176,2019.09.16,00:00,1.24657,1.25028,1.23991,1.24247,98027,0,1,0,0,0,0,,4.0,4.0,0,1
177,2019.09.17,00:00,1.24251,1.25274,1.23925,1.24994,100126,1,0,0,0,0,0,0.0,4.0,4.0,1,0
178,2019.09.18,00:00,1.24978,1.2512,1.24393,1.24701,103870,0,1,0,0,0,0,0.0,5.0,3.0,0,1
179,2019.09.19,00:00,1.24718,1.25603,1.2438,1.25248,107717,1,0,0,0,0,0,0.0,4.0,4.0,1,0
180,2019.09.20,00:00,1.25249,1.25822,1.24592,1.24695,108260,0,1,0,0,0,0,0.0,3.0,5.0,0,1
181,2019.09.23,00:00,1.24653,1.24906,1.24129,1.24327,92682,0,1,0,0,0,0,-1.0,4.0,4.0,0,0
