0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork
212,2021.10.19,00:00,1.37247,1.38338,1.37201,1.37909,102751,1,0,0,0,0,0
213,2021.10.20,00:00,1.3788,1.38344,1.37423,1.38216,103324,1,0,0,0,0,0
214,2021.10.21,00:00,1.38202,1.38331,1.3776,1.37916,111660,0,1,0,0,0,0
215,2021.10.22,00:00,1.37917,1.38148,1.37357,1.37545,127548,0,1,0,0,0,0
216,2021.10.25,00:00,1.37354,1.37917,1.37354,1.3765,130933,1,0,0,0,0,0
217,2021.10.26,00:00,1.37646,1.38294,1.37568,1.37637,128189,0,1,0,0,0,0
218,2021.10.27,00:00,1.37602,1.37809,1.37092,1.37404,146127,0,1,0,0,0,0
219,2021.10.28,00:00,1.37395,1.38149,1.37219,1.37824,155535,1,0,0,0,0,0
220,2021.10.29,00:00,1.37814,1.38038,1.36418,1.36546,270679,0,1,0,0,0,0
221,2021.11.02,00:00,1.36542,1.36697,1.36055,1.36102,90617,0,1,0,0,0,0
222,2021.11.03,00:00,1.3609,1.36919,1.36074,1.3686,126608,1,0,0,0,0,0
223,2021.11.04,00:00,1.36853,1.36984,1.3471,1.34985,131181,0,1,0,0,0,0
224,2021.11.05,00:00,1.34968,1.3509,1.34242,1.34896,122107,0,1,0,0,0,0
225,2021.11.08,00:00,1.34741,1.35797,1.345,1.35625,109996,1,0,0,0,0,0
226,2021.11.09,00:00,1.35592,1.36074,1.35241,1.35563,123301,0,1,0,0,0,0
227,2021.11.10,00:00,1.35563,1.35647,1.34008,1.34045,153249,0,1,0,0,0,0
228,2021.11.11,00:00,1.34032,1.34329,1.33583,1.33662,102508,0,1,0,0,0,0
229,2021.11.12,00:00,1.33655,1.34262,1.33531,1.34143,94949,1,0,0,0,0,0
230,2021.11.15,00:00,1.34109,1.34493,1.34028,1.34105,98734,0,1,0,0,0,0
231,2021.11.16,00:00,1.34087,1.34726,1.3405,1.34276,129923,1,0,0,0,0,0
232,2021.11.17,00:00,1.34276,1.34962,1.3396,1.34804,133283,1,0,0,0,0,0
233,2021.11.18,00:00,1.34804,1.35134,1.34635,1.34959,118290,1,0,0,0,0,0
234,2021.11.19,00:00,1.34837,1.35096,1.34074,1.34437,135354,0,1,0,0,0,0
235,2021.11.22,00:00,1.3444,1.34546,1.33845,1.33962,149492,0,1,0,0,0,0
236,2021.11.23,00:00,1.33961,1.34093,1.33421,1.33749,136427,0,1,0,0,0,0
237,2021.11.24,00:00,1.33741,1.33898,1.33157,1.33243,146753,0,1,0,0,0,0
238,2021.11.25,00:00,1.33241,1.33534,1.3305,1.33213,102266,0,1,0,0,0,0
239,2021.11.26,00:00,1.33213,1.33599,1.32781,1.33293,174177,1,0,0,0,0,0
240,2021.11.29,00:00,1.33327,1.33628,1.32873,1.33135,117919,0,1,0,0,0,0
241,2021.11.30,00:00,1.33135,1.33701,1.31947,1.32961,188566,0,1,0,0,0,0
242,2021.12.01,00:00,1.32958,1.32958,1.32958,1.32958,1,0,0,1,0,0,0
243,2021.12.01,00:00,1.32956,1.33519,1.32614,1.32756,194536,0,1,0,0,0,0
244,2021.12.02,00:00,1.32741,1.33333,1.32682,1.32979,200766,1,0,0,0,0,0
245,2021.12.03,00:00,1.32981,1.331,1.32084,1.323,173436,0,1,0,0,0,0
246,2021.12.06,00:00,1.32122,1.32862,1.32078,1.32602,141620,1,0,0,0,0,0
247,2021.12.07,00:00,1.32549,1.32894,1.3209,1.32406,136685,0,1,0,0,0,0
248,2021.12.08,00:00,1.32402,1.32611,1.31607,1.32005,160170,0,1,0,0,0,0
249,2021.12.09,00:00,1.32005,1.32225,1.31706,1.32193,135646,1,0,0,0,0,0
250,2021.12.10,00:00,1.32193,1.32757,1.31873,1.32635,123289,1,0,0,0,0,0
251,2021.12.13,00:00,1.32439,1.32687,1.32072,1.32124,105464,0,1,0,0,0,0
252,2021.12.14,00:00,1.32121,1.32566,1.31908,1.32302,92649,1,0,0,0,0,0
253,2021.12.15,00:00,1.32298,1.32825,1.31721,1.32573,118773,1,0,0,0,0,0
254,2021.12.16,00:00,1.32566,1.33744,1.32413,1.33201,150252,1,0,0,0,0,0
255,2021.12.17,00:00,1.33192,1.33391,1.32311,1.32363,137881,0,1,0,0,0,0
256,2021.12.20,00:00,1.32386,1.32444,1.31733,1.32055,124688,0,1,0,0,0,0
257,2021.12.21,00:00,1.32047,1.32707,1.31976,1.32494,97861,1,0,0,0,0,0
258,2021.12.22,00:00,1.32513,1.33632,1.32401,1.33486,96315,1,0,0,0,0,0
259,2021.12.23,00:00,1.33485,1.34377,1.3339,1.34038,82516,1,0,0,0,0,0
260,2021.12.24,00:00,1.34038,1.34449,1.33782,1.34405,192824,1,0,0,0,0,0
261,2021.12.28,00:00,1.344,1.34614,1.34147,1.34268,54964,0,1,0,0,0,0
262,2021.12.29,00:00,1.3429,1.34994,1.34085,1.34873,72853,1,0,0,0,0,0
263,2021.12.30,00:00,1.34872,1.35216,1.34543,1.34914,70695,1,0,0,0,0,0
