0,date,time,p_open,p_high,p_low,p_close,volume,st_bullish,st_bearish,st_neutral,ss_asia,ss_europe,ss_newyork,vol_diff,upper_wick_length,lower_wick_length,support,resistance
23744,2020.12.14,17:45,1.21348,1.21349,1.21231,1.21248,2325,0,1,0,0,1,1,2.0,5.0,5.0,0,0
23745,2020.12.14,18:00,1.21246,1.21351,1.21228,1.2135,1459,1,0,0,0,1,1,-2.0,5.0,5.0,1,0
23746,2020.12.14,18:15,1.21349,1.21397,1.21334,1.21358,1129,1,0,0,0,1,1,-2.0,2.0,4.0,0,0
23747,2020.12.14,18:30,1.21359,1.21435,1.21358,1.21413,987,1,0,0,0,1,1,-1.0,4.0,5.0,0,0
23748,2020.12.14,18:45,1.21414,1.21472,1.21411,1.21444,653,1,0,0,0,1,1,-2.0,3.0,5.0,0,0
23749,2020.12.14,19:00,1.21444,1.21559,1.2143,1.21544,958,1,0,0,0,0,1,3.0,5.0,5.0,0,0
23750,2020.12.14,19:15,1.21543,1.21589,1.21501,1.21589,1041,1,0,0,0,0,1,0.0,5.0,3.0,0,0
23751,2020.12.14,19:30,1.2159,1.21604,1.21547,1.21557,778,0,1,0,0,0,1,-2.0,4.0,5.0,0,1
23752,2020.12.14,19:45,1.21556,1.21574,1.21536,1.21573,620,1,0,0,0,0,1,-2.0,5.0,3.0,1,0
23753,2020.12.14,20:00,1.21573,1.21606,1.21538,1.21561,992,0,1,0,0,0,1,4.0,3.0,4.0,0,1
23754,2020.12.14,20:15,1.2156,1.21567,1.21526,1.21528,580,0,1,0,0,0,1,-3.0,5.0,5.0,0,0
23755,2020.12.14,20:30,1.21527,1.21531,1.21495,1.21496,577,0,1,0,0,0,1,,5.0,5.0,0,0
23756,2020.12.14,20:45,1.21497,1.21516,1.2147,1.21504,479,1,0,0,0,0,1,-1.0,4.0,3.0,1,0
23757,2020.12.14,21:00,1.21504,1.21525,1.21479,1.2148,550,0,1,0,0,0,1,1.0,3.0,5.0,0,1
23758,2020.12.14,21:15,1.21479,1.21513,1.21466,1.21497,466,1,0,0,0,0,1,-1.0,4.0,4.0,1,0
23759,2020.12.14,21:30,1.21498,1.21498,1.21463,1.21482,398,0,1,0,0,0,1,-1.0,5.0,3.0,0,1
23760,2020.12.14,21:45,1.21485,1.21497,1.21449,1.21468,542,0,1,0,0,0,1,2.0,4.0,4.0,0,0
23761,2020.12.14,22:00,1.21468,1.21471,1.21441,1.21443,378,0,1,0,0,0,1,-2.0,5.0,5.0,0,0
23762,2020.12.14,22:15,1.21442,1.21477,1.21439,1.21452,405,1,0,0,0,0,1,0.0,2.0,5.0,1,0
23763,2020.12.14,22:30,1.2145,1.21453,1.2139,1.21392,558,0,1,0,0,0,1,2.0,5.0,5.0,0,1
23764,2020.12.14,22:45,1.21392,1.21486,1.21392,1.21472,507,1,0,0,0,0,1,,5.0,5.0,1,0
23765,2020.12.14,23:00,1.21473,1.21516,1.21464,1.21473,562,0,0,1,0,0,0,1.0,5.0,5.0,0,0
23766,2020.12.14,23:15,1.21475,1.21514,1.21465,1.21513,242,1,0,0,0,0,0,-3.0,5.0,4.0,0,0
23767,2020.12.14,23:30,1.21512,1.21512,1.21456,1.21464,290,0,1,0,0,0,0,1.0,5.0,5.0,0,1
23768,2020.12.14,23:45,1.21467,1.2147,1.21414,1.21436,1017,0,1,0,0,0,0,5.0,5.0,4.0,0,0
23769,2020.12.15,00:00,1.21433,1.21446,1.21421,1.21439,155,1,0,0,0,0,0,-5.0,4.0,3.0,1,0
23770,2020.12.15,00:15,1.21439,1.21457,1.21438,1.21449,210,1,0,0,0,0,0,2.0,3.0,5.0,0,0
23771,2020.12.15,00:30,1.2145,1.21457,1.21438,1.21439,173,0,1,0,0,0,0,-1.0,4.0,5.0,0,1
23772,2020.12.15,00:45,1.21438,1.21455,1.21438,1.21447,77,1,0,0,0,0,0,-3.0,3.0,5.0,1,0
23773,2020.12.15,01:00,1.21447,1.21458,1.21437,1.21439,332,0,1,0,0,0,0,5.0,3.0,5.0,0,1
23774,2020.12.15,01:15,1.21441,1.21466,1.21431,1.21445,356,1,0,0,0,0,0,0.0,2.0,4.0,1,0
23775,2020.12.15,01:30,1.21445,1.21488,1.21445,1.21468,325,1,0,0,0,0,0,,3.0,5.0,0,0
23776,2020.12.15,01:45,1.21467,1.21487,1.21467,1.21484,285,1,0,0,0,0,0,-1.0,5.0,5.0,0,0
23777,2020.12.15,02:00,1.21485,1.21521,1.21482,1.21483,569,0,1,0,1,0,0,5.0,1.0,5.0,0,1
23778,2020.12.15,02:15,1.21484,1.21495,1.21473,1.21495,255,1,0,0,1,0,0,-3.0,5.0,3.0,1,0
23779,2020.12.15,02:30,1.21495,1.21547,1.21493,1.21524,558,1,0,0,1,0,0,5.0,3.0,5.0,0,0
23780,2020.12.15,02:45,1.21524,1.21593,1.21518,1.21571,901,1,0,0,1,0,0,4.0,4.0,5.0,0,0
23781,2020.12.15,03:00,1.21571,1.21604,1.21569,1.21577,900,1,0,0,1,0,0,,2.0,5.0,0,0
23782,2020.12.15,03:15,1.21578,1.216,1.2156,1.216,645,1,0,0,1,0,0,-2.0,5.0,3.0,0,0
23783,2020.12.15,03:30,1.216,1.21602,1.21551,1.21566,784,0,1,0,1,0,0,2.0,5.0,4.0,0,1
23784,2020.12.15,03:45,1.21566,1.216,1.21519,1.21598,1004,1,0,0,1,0,0,2.0,5.0,3.0,1,0
23785,2020.12.15,04:00,1.21597,1.2163,1.21582,1.21612,739,1,0,0,1,0,0,-2.0,4.0,4.0,0,0
23786,2020.12.15,04:15,1.21613,1.21621,1.21571,1.21572,738,0,1,0,1,0,0,,5.0,5.0,0,1
23787,2020.12.15,04:30,1.21572,1.21595,1.21568,1.21573,549,1,0,0,1,0,0,-2.0,1.0,5.0,1,0
23788,2020.12.15,04:45,1.21575,1.21623,1.21575,1.21589,628,1,0,0,1,0,0,1.0,2.0,5.0,0,0
23789,2020.12.15,05:00,1.2159,1.216,1.21572,1.21582,443,0,1,0,1,0,0,-2.0,4.0,4.0,0,1
23790,2020.12.15,05:15,1.2158,1.2158,1.21544,1.21548,453,0,1,0,1,0,0,0.0,5.0,5.0,0,0
23791,2020.12.15,05:30,1.21548,1.21563,1.2151,1.21524,655,0,1,0,1,0,0,3.0,4.0,4.0,0,0
23792,2020.12.15,05:45,1.21527,1.21534,1.21491,1.21518,589,0,1,0,1,0,0,-1.0,5.0,2.0,0,0
23793,2020.12.15,06:00,1.21519,1.21531,1.215,1.21513,423,0,1,0,1,0,0,-2.0,4.0,3.0,0,0
23794,2020.12.15,06:15,1.21513,1.21513,1.21478,1.21479,333,0,1,0,1,0,0,-2.0,5.0,5.0,0,0
